[ RUN      ] BootstrapTest.FileSharing
[2025-01-28 21:46:31.903163] [0x00007f88cce596c0] [debug]   Cipher initialization complete
[2025-01-28 21:46:31.903172] [0x00007f88cce596c0] [debug]   Processing block 0: Read 16 bytes (total processed so far: 0)
[2025-01-28 21:46:31.903176] [0x00007f88cce596c0] [trace]   Decrypting block 0 of size 16
[2025-01-28 21:46:31.903185] [0x00007f88cce596c0] [debug]   Finalizing decryption after 1 blocks
[2025-01-28 21:46:31.903191] [0x00007f88cce596c0] [debug]   Writing final block of size 4
[2025-01-28 21:46:31.903199] [0x00007f88cce596c0] [info]    Completed decryption: Processed 4 bytes in 1 blocks
[2025-01-28 21:46:31.903203] [0x00007f88cce596c0] [debug]   Read decrypted filename length: 8
[2025-01-28 21:46:31.903212] [0x00007f88cce596c0] [debug]   Added message frame to channel. Channel size: 1
[2025-01-28 21:46:31.903216] [0x00007f88cce596c0] [debug]   New frame added to channel
[2025-01-28 21:46:31.903232] [0x00007f88cce596c0] [debug]   Decrypting payload of size: 17
[2025-01-28 21:46:31.903240] [0x00007f88cce596c0] [info]    Starting stream decryption
[2025-01-28 21:46:31.903244] [0x00007f88cce596c0] [debug]   Initializing cipher for decryption
[2025-01-28 21:46:31.903253] [0x00007f88cce596c0] [debug]   Cipher initialization complete
[2025-01-28 21:46:31.903261] [0x00007f88cce596c0] [debug]   Processing block 0: Read 32 bytes (total processed so far: 0)
[2025-01-28 21:46:31.903268] [0x00007f88cce596c0] [trace]   Decrypting block 0 of size 32
[2025-01-28 21:46:31.903272] [0x00007f88cce596c0] [debug]   Decrypted block 0 produced 16 bytes
[2025-01-28 21:46:31.903301] [0x00007f88cce596c0] [debug]   Finalizing decryption after 1 blocks
[2025-01-28 21:46:31.903306] [0x00007f88cce596c0] [debug]   Writing final block of size 1
[2025-01-28 21:46:31.903309] [0x00007f88cce596c0] [info]    Completed decryption: Processed 17 bytes in 1 blocks
[2025-01-28 21:46:31.903321] [0x00007f88cce596c0] [info]    Message frame deserialization complete. Total bytes read: 59
[2025-01-28 21:46:31.903325] [0x00007f88cce596c0] [debug]   Cleaning up CryptoStream resources
[2025-01-28 21:46:31.903332] [0x00007f88cce596c0] [debug]   Cleaning up CryptoStream resources
[2025-01-28 21:46:31.903337] [0x00007f88cce596c0] [trace]   Setting up next async read
[2025-01-28 21:46:33.903158] [0x00007f88cde61d80] [debug]   Checking existence of key: test.txt
[2025-01-28 21:46:33.903181] [0x00007f88cde61d80] [debug]   Generating hash for key: test.txt
[2025-01-28 21:46:33.903208] [0x00007f88cde61d80] [debug]   Generated hash: a6ed0c785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:33.903228] [0x00007f88cde61d80] [debug]   Calculated path: fileserver_1/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:33.903249] [0x00007f88cde61d80] [debug]   Key test.txt exists at path: fileserver_1/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:33.903261] [0x00007f88cde61d80] [debug]   Checking existence of key: test.txt
[2025-01-28 21:46:33.903265] [0x00007f88cde61d80] [debug]   Generating hash for key: test.txt
[2025-01-28 21:46:33.903273] [0x00007f88cde61d80] [debug]   Generated hash: a6ed0c785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:33.903300] [0x00007f88cde61d80] [debug]   Calculated path: fileserver_2/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
[2025-01-28 21:46:33.903315] [0x00007f88cde61d80] [debug]   Key test.txt not found at path: fileserver_2/a6/ed/0c/785d4590bc95c216bcf514384eee6765b1c2b732d0b0a1ad7e14d3204a
/home/runner/workspace/src/tests/bootstrap_test.cpp:140: Failure
Value of: file_server2.get_store().has(TEST_FILENAME)
  Actual: false
Expected: true
File should exist in peer2's store after sharing

terminate called without an active exception
Aborted (core dumped)
make[2]: *** [CMakeFiles/run_tests.dir/build.make:80: CMakeFiles/run_tests] Error 134
make[1]: *** [CMakeFiles/Makefile2:349: CMakeFiles/run_tests.dir/all] Error 2
make: *** [Makefile:146: all] Error 2
